mean_test_score,std_test_score,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,tag
0.9455128205128204,0.0603552108710585,True,gini,,1,default
0.9602564102564102,0.0526109859709825,True,gini,,2,default
0.9923076923076924,0.023076923076923,True,gini,,5,default
1.0,0.0,True,gini,,10,default
1.0,0.0,True,gini,,20,default
1.0,0.0,True,gini,,50,default
1.0,0.0,True,gini,,100,default
0.8307692307692307,0.1568929081105472,True,gini,1.0,1,default
0.8737179487179487,0.1418405940101025,True,gini,1.0,2,default
0.967948717948718,0.0541657183955835,True,gini,1.0,5,default
0.953205128205128,0.0925411044659566,True,gini,1.0,10,default
0.9762820512820513,0.0362675516918349,True,gini,1.0,20,default
0.9679487179487178,0.0393069479916817,True,gini,1.0,50,default
0.9602564102564102,0.0398055761442564,True,gini,1.0,100,default
0.8583333333333334,0.1341705103152861,True,gini,2.0,1,default
0.9583333333333334,0.0853912563829966,True,gini,2.0,2,default
0.9839743589743588,0.0320833173236979,True,gini,2.0,5,default
1.0,0.0,True,gini,2.0,10,default
1.0,0.0,True,gini,2.0,20,default
1.0,0.0,True,gini,2.0,50,default
0.9839743589743588,0.0320833173236979,True,gini,2.0,100,default
0.9685897435897436,0.0516373907003752,True,gini,3.0,1,default
0.9846153846153848,0.0307692307692307,True,gini,3.0,2,default
1.0,0.0,True,gini,3.0,5,default
0.9916666666666666,0.025,True,gini,3.0,10,default
1.0,0.0,True,gini,3.0,20,default
1.0,0.0,True,gini,3.0,50,default
1.0,0.0,True,gini,3.0,100,default
0.9205128205128204,0.1289465739556939,True,gini,4.0,1,default
0.9923076923076924,0.023076923076923,True,gini,4.0,2,default
0.9762820512820513,0.0499876710637997,True,gini,4.0,5,default
1.0,0.0,True,gini,4.0,10,default
1.0,0.0,True,gini,4.0,20,default
1.0,0.0,True,gini,4.0,50,default
1.0,0.0,True,gini,4.0,100,default
0.9307692307692308,0.121382567985073,True,gini,5.0,1,default
0.9448717948717948,0.0697039857388112,True,gini,5.0,2,default
1.0,0.0,True,gini,5.0,5,default
1.0,0.0,True,gini,5.0,10,default
1.0,0.0,True,gini,5.0,20,default
1.0,0.0,True,gini,5.0,50,default
1.0,0.0,True,gini,5.0,100,default
0.9756410256410256,0.037245741144446,True,gini,10.0,1,default
1.0,0.0,True,gini,10.0,2,default
0.9923076923076924,0.023076923076923,True,gini,10.0,5,default
1.0,0.0,True,gini,10.0,10,default
1.0,0.0,True,gini,10.0,20,default
1.0,0.0,True,gini,10.0,50,default
1.0,0.0,True,gini,10.0,100,default
0.9301282051282052,0.0939687618580143,True,gini,20.0,1,default
0.9538461538461538,0.0510249967746984,True,gini,20.0,2,default
0.9923076923076924,0.023076923076923,True,gini,20.0,5,default
1.0,0.0,True,gini,20.0,10,default
1.0,0.0,True,gini,20.0,20,default
1.0,0.0,True,gini,20.0,50,default
1.0,0.0,True,gini,20.0,100,default
0.9916666666666666,0.025,True,entropy,,1,default
0.9211538461538462,0.0855258899019705,True,entropy,,2,default
0.9916666666666666,0.025,True,entropy,,5,default
1.0,0.0,True,entropy,,10,default
1.0,0.0,True,entropy,,20,default
1.0,0.0,True,entropy,,50,default
1.0,0.0,True,entropy,,100,default
0.7955128205128206,0.1715854540668797,True,entropy,1.0,1,default
0.976923076923077,0.0492548018264065,True,entropy,1.0,2,default
0.9224358974358976,0.1191842340949705,True,entropy,1.0,5,default
0.9602564102564102,0.0526109859709825,True,entropy,1.0,10,default
0.9679487179487178,0.0393069479916817,True,entropy,1.0,20,default
0.9762820512820513,0.0362675516918349,True,entropy,1.0,50,default
0.9679487179487178,0.0393069479916817,True,entropy,1.0,100,default
0.8814102564102566,0.1530226356513841,True,entropy,2.0,1,default
0.9602564102564104,0.0545286418413762,True,entropy,2.0,2,default
0.9756410256410256,0.037245741144446,True,entropy,2.0,5,default
0.9839743589743588,0.0320833173236979,True,entropy,2.0,10,default
0.9756410256410256,0.037245741144446,True,entropy,2.0,20,default
1.0,0.0,True,entropy,2.0,50,default
1.0,0.0,True,entropy,2.0,100,default
0.9025641025641026,0.1665877525208285,True,entropy,3.0,1,default
0.9506410256410256,0.124565319160963,True,entropy,3.0,2,default
0.9762820512820513,0.0499876710637997,True,entropy,3.0,5,default
1.0,0.0,True,entropy,3.0,10,default
0.9839743589743588,0.0320833173236979,True,entropy,3.0,20,default
1.0,0.0,True,entropy,3.0,50,default
1.0,0.0,True,entropy,3.0,100,default
0.8666666666666668,0.1347618251097221,True,entropy,4.0,1,default
0.9615384615384616,0.0788226981996892,True,entropy,4.0,2,default
1.0,0.0,True,entropy,4.0,5,default
1.0,0.0,True,entropy,4.0,10,default
1.0,0.0,True,entropy,4.0,20,default
1.0,0.0,True,entropy,4.0,50,default
1.0,0.0,True,entropy,4.0,100,default
0.9692307692307692,0.0615384615384615,True,entropy,5.0,1,default
0.9846153846153848,0.0461538461538461,True,entropy,5.0,2,default
0.9923076923076924,0.023076923076923,True,entropy,5.0,5,default
0.9923076923076924,0.023076923076923,True,entropy,5.0,10,default
1.0,0.0,True,entropy,5.0,20,default
1.0,0.0,True,entropy,5.0,50,default
1.0,0.0,True,entropy,5.0,100,default
0.9923076923076924,0.023076923076923,True,entropy,10.0,1,default
0.9923076923076924,0.023076923076923,True,entropy,10.0,2,default
1.0,0.0,True,entropy,10.0,5,default
1.0,0.0,True,entropy,10.0,10,default
0.9916666666666666,0.025,True,entropy,10.0,20,default
1.0,0.0,True,entropy,10.0,50,default
1.0,0.0,True,entropy,10.0,100,default
0.9916666666666666,0.025,True,entropy,20.0,1,default
0.9538461538461538,0.0784464540552736,True,entropy,20.0,2,default
0.9923076923076924,0.023076923076923,True,entropy,20.0,5,default
1.0,0.0,True,entropy,20.0,10,default
1.0,0.0,True,entropy,20.0,20,default
1.0,0.0,True,entropy,20.0,50,default
1.0,0.0,True,entropy,20.0,100,default
0.9615384615384616,0.0926276506060945,False,gini,,1,default
0.9615384615384616,0.0788226981996892,False,gini,,2,default
0.9692307692307692,0.0510249967746984,False,gini,,5,default
1.0,0.0,False,gini,,10,default
1.0,0.0,False,gini,,20,default
1.0,0.0,False,gini,,50,default
1.0,0.0,False,gini,,100,default
0.8358974358974359,0.1543581224953067,False,gini,1.0,1,default
0.8884615384615385,0.1774657230009127,False,gini,1.0,2,default
0.912179487179487,0.121424876600564,False,gini,1.0,5,default
0.9685897435897436,0.0385095853740399,False,gini,1.0,10,default
0.9679487179487178,0.0393069479916817,False,gini,1.0,20,default
0.9762820512820513,0.0362675516918349,False,gini,1.0,50,default
0.9679487179487178,0.0393069479916817,False,gini,1.0,100,default
0.8532051282051283,0.1210316844427658,False,gini,2.0,1,default
0.9525641025641024,0.0999753421275995,False,gini,2.0,2,default
0.9115384615384616,0.1650264457917302,False,gini,2.0,5,default
0.9923076923076924,0.023076923076923,False,gini,2.0,10,default
1.0,0.0,False,gini,2.0,20,default
0.9923076923076924,0.023076923076923,False,gini,2.0,50,default
0.9839743589743588,0.0320833173236979,False,gini,2.0,100,default
0.9224358974358976,0.1088026550755048,False,gini,3.0,1,default
0.9846153846153848,0.0307692307692307,False,gini,3.0,2,default
1.0,0.0,False,gini,3.0,5,default
0.9916666666666666,0.025,False,gini,3.0,10,default
1.0,0.0,False,gini,3.0,20,default
1.0,0.0,False,gini,3.0,50,default
1.0,0.0,False,gini,3.0,100,default
0.9692307692307692,0.0615384615384615,False,gini,4.0,1,default
0.9685897435897436,0.0516373907003752,False,gini,4.0,2,default
0.9923076923076924,0.023076923076923,False,gini,4.0,5,default
1.0,0.0,False,gini,4.0,10,default
1.0,0.0,False,gini,4.0,20,default
1.0,0.0,False,gini,4.0,50,default
1.0,0.0,False,gini,4.0,100,default
0.9839743589743588,0.0320833173236979,False,gini,5.0,1,default
0.946153846153846,0.0600788436608204,False,gini,5.0,2,default
0.976923076923077,0.0492548018264065,False,gini,5.0,5,default
1.0,0.0,False,gini,5.0,10,default
1.0,0.0,False,gini,5.0,20,default
1.0,0.0,False,gini,5.0,50,default
1.0,0.0,False,gini,5.0,100,default
0.9923076923076924,0.023076923076923,False,gini,10.0,1,default
0.9762820512820513,0.0362675516918349,False,gini,10.0,2,default
0.9923076923076924,0.023076923076923,False,gini,10.0,5,default
1.0,0.0,False,gini,10.0,10,default
1.0,0.0,False,gini,10.0,20,default
1.0,0.0,False,gini,10.0,50,default
1.0,0.0,False,gini,10.0,100,default
0.9923076923076924,0.023076923076923,False,gini,20.0,1,default
0.9615384615384616,0.0516015687115336,False,gini,20.0,2,default
1.0,0.0,False,gini,20.0,5,default
1.0,0.0,False,gini,20.0,10,default
1.0,0.0,False,gini,20.0,20,default
1.0,0.0,False,gini,20.0,50,default
1.0,0.0,False,gini,20.0,100,default
0.912179487179487,0.1000513510494051,False,entropy,,1,default
0.960897435897436,0.0521126643248786,False,entropy,,2,default
0.9916666666666666,0.025,False,entropy,,5,default
1.0,0.0,False,entropy,,10,default
1.0,0.0,False,entropy,,20,default
1.0,0.0,False,entropy,,50,default
1.0,0.0,False,entropy,,100,default
0.7621794871794871,0.1367790104470796,False,entropy,1.0,1,default
0.8608974358974357,0.1566530796911629,False,entropy,1.0,2,default
0.9435897435897436,0.1043435382019272,False,entropy,1.0,5,default
0.9756410256410256,0.037245741144446,False,entropy,1.0,10,default
0.9602564102564102,0.0398055761442564,False,entropy,1.0,20,default
0.9679487179487178,0.0393069479916817,False,entropy,1.0,50,default
0.9846153846153848,0.0307692307692307,False,entropy,1.0,100,default
0.8243589743589744,0.1647124085027989,False,entropy,2.0,1,default
0.9307692307692308,0.121382567985073,False,entropy,2.0,2,default
0.9923076923076924,0.023076923076923,False,entropy,2.0,5,default
1.0,0.0,False,entropy,2.0,10,default
1.0,0.0,False,entropy,2.0,20,default
0.9916666666666666,0.025,False,entropy,2.0,50,default
0.9916666666666666,0.025,False,entropy,2.0,100,default
0.9141025641025642,0.1221721551866814,False,entropy,3.0,1,default
1.0,0.0,False,entropy,3.0,2,default
1.0,0.0,False,entropy,3.0,5,default
1.0,0.0,False,entropy,3.0,10,default
1.0,0.0,False,entropy,3.0,20,default
1.0,0.0,False,entropy,3.0,50,default
1.0,0.0,False,entropy,3.0,100,default
0.894871794871795,0.1380871005462788,False,entropy,4.0,1,default
0.9692307692307692,0.0705011645377821,False,entropy,4.0,2,default
1.0,0.0,False,entropy,4.0,5,default
1.0,0.0,False,entropy,4.0,10,default
1.0,0.0,False,entropy,4.0,20,default
1.0,0.0,False,entropy,4.0,50,default
1.0,0.0,False,entropy,4.0,100,default
0.9602564102564102,0.0644732869778469,False,entropy,5.0,1,default
0.9448717948717948,0.0622950287859299,False,entropy,5.0,2,default
0.9923076923076924,0.023076923076923,False,entropy,5.0,5,default
1.0,0.0,False,entropy,5.0,10,default
1.0,0.0,False,entropy,5.0,20,default
1.0,0.0,False,entropy,5.0,50,default
1.0,0.0,False,entropy,5.0,100,default
0.9916666666666666,0.025,False,entropy,10.0,1,default
1.0,0.0,False,entropy,10.0,2,default
1.0,0.0,False,entropy,10.0,5,default
1.0,0.0,False,entropy,10.0,10,default
1.0,0.0,False,entropy,10.0,20,default
1.0,0.0,False,entropy,10.0,50,default
1.0,0.0,False,entropy,10.0,100,default
0.9839743589743588,0.0320833173236979,False,entropy,20.0,1,default
0.9679487179487178,0.0393069479916817,False,entropy,20.0,2,default
1.0,0.0,False,entropy,20.0,5,default
1.0,0.0,False,entropy,20.0,10,default
1.0,0.0,False,entropy,20.0,20,default
1.0,0.0,False,entropy,20.0,50,default
1.0,0.0,False,entropy,20.0,100,default
